               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027344,            0.013384,                   0,             0.93069,             0.92603,             0.95907,             0.65361,            0.014499,           0.0056081,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.028345,            0.012967,                   0,             0.91385,              0.9406,             0.97007,             0.66003,            0.013761,           0.0056176,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.026752,            0.013006,                   0,             0.93296,             0.95983,             0.97975,              0.6739,            0.013916,           0.0053494,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,             0.02633,            0.013042,                   0,             0.95069,             0.96059,             0.98573,             0.68101,            0.013715,            0.005279,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.026617,            0.012729,                   0,             0.96907,             0.92596,             0.98245,             0.66977,            0.013989,           0.0054147,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.027612,            0.013428,                   0,             0.91293,             0.93103,             0.96528,             0.62819,            0.013898,            0.005847,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,            0.028736,            0.013058,                   0,             0.94072,             0.94581,             0.96877,             0.63631,            0.014331,           0.0057434,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.027909,            0.012953,                   0,             0.95521,             0.94581,               0.975,             0.68838,            0.013328,           0.0052328,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.027736,            0.013138,                   0,             0.93014,             0.98522,             0.98751,             0.68635,            0.014449,           0.0051299,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.026307,            0.012982,                   0,             0.93529,             0.92611,             0.97261,             0.65644,            0.013398,           0.0052517,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.024593,            0.012916,                   0,             0.94014,             0.94089,             0.97616,             0.67392,            0.013543,           0.0054822,                   0,           0.0041837,           0.0041837,           0.0041837
